,Code,Product label,,,,,,,,,,,,HS6Desc,BEC5Code1
39,732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",,,,,,,,,,,,Iron or steel; articles n.e.c. in heading 7326,311220
40,260800,Zinc ores and concentrates,,,,,,,,,,,,Zinc ores and concentrates,2111
41,903141,Optical instruments and appliances for inspecting semiconductor wafers or devices or for inspecting ...,,,,,,,,,,,,"Optical instruments and appliances; for inspecting semiconductor wafers or devices or for inspecting photomasks or reticles used in manufacturing semiconductor devices, n.e.c. in chapter 90",212
42,890190,Vessels for the transport of goods and vessels for the transport of both persons and goods ...,,,,,,,,,,,,"Vessels; n.e.c. in heading no. 8901, for the transport of goods and other vessels for the transport of both persons and goods",512
43,382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",,,,,,,,,,,,"Chemical products, mixtures and preparations; n.e.c. heading 3824",211220
44,850110,"Motors of an output <= 37,5 W",,,,,,,,,,,,Electric motors; of an output not exceeding 37.5W,312
45,850440,Static converters,,,,,,,,,,,,Electrical static converters,312
46,760200,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",,,,,,,,,,,,Aluminium; waste and scrap,311210
47,848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",,,,,,,,,,,,"Taps, cocks, valves and similar appliances; for pipes, boiler shells, tanks, vats or the like, including thermostatically controlled valves",311220
48,300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",,,,,,,,,,,,"Blood, human or animal, antisera, other blood fractions and immunological products; immunological products, put up in measured doses or in forms or packings for retail sale",711220
49,392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",,,,,,,,,,,,Plastics; other articles n.e.c. in chapter 39,311220
50,20329,"Frozen meat of swine (excluding carcases and half-carcases, and hams, shoulders and cuts thereof, ...",,,,,,,,,,,,"Meat; of swine, n.e.c. in item no. 0203.2, frozen",113101
51,853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",,,,,,,,,,,,"Boards, panels, consoles, desks and other bases; for electric control or the distribution of electricity, (other than switching apparatus of heading no. 8517), for a voltage not exceeding 1000 volts",3112
52,711021,"Palladium, unwrought or in powder form",,,,,,,,,,,,"Metals; palladium, unwrought or in powder form",411210
53,710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",,,,,,,,,,,,"Metals; gold, non-monetary, unwrought (but not powder)",411210
54,854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",,,,,,,,,,,,"Electrical machines and apparatus; having individual functions, not specified or included elsewhere in this chapter, n.e.c. in heading no. 8543",312
55,847989,"Machines and mechanical appliances, n.e.s.",,,,,,,,,,,,"Machines and mechanical appliances; having individual functions, n.e.c. or included in this chapter",312020
56,420221,"Handbags, whether or not with shoulder straps, incl. those without handles, with outer surface ...",,,,,,,,,,,,"Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather",513202
