HS,BEC4
101,712010
101,1111
101,1111
101,1111
102,112010
102,1111
102,112010
102,1111
102,1111
103,112010
103,1111
103,1111
104,1111
104,1111
105,1111
105,1111
105,1111
105,1111
105,1111
105,1111
105,1111
106,1111
106,1111
106,1111
106,1111
106,1111
106,1111
106,1111
106,1111
106,1111
106,1111
106,1111
106,1111
106,1111
201,111210
201,113101
201,113101
202,111210
202,113101
202,113101
203,111210
203,113101
203,113101
203,111210
203,113101
203,113101
204,111210
204,111210
204,113101
204,113101
204,111210
204,111210
204,113101
204,113101
204,113101
205,111210
206,113101
206,113101
206,113101
206,113101
206,113101
206,113101
206,113101
206,113101
206,113101
207,113101
207,113101
207,113101
207,113101
207,113101
207,113101
207,113101
207,113101
207,113101
207,113101
207,113101
207,113101
207,113101
207,113101
207,113101
207,113101
207,113101
207,113101
207,113101
208,113101
208,113101
208,113101
208,113101
208,113101
208,113101
209,111210
209,111210
210,113101
210,113101
210,113101
210,113101
210,113101
210,113101
210,113101
210,113101
301,713101
301,713101
301,713101
301,713101
301,713101
301,713101
301,713101
301,713101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
302,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
303,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
304,113101
305,111210
305,113101
305,113101
305,113101
305,113101
305,113101
305,113101
305,113101
305,113101
305,113101
305,113101
305,113101
305,113101
305,113101
305,113101
305,113101
305,113101
305,113101
305,113101
305,113101
305,113101
305,113101
305,113101
306,113101
306,113101
306,113101
306,113101
306,113101
306,113101
306,113101
306,113101
306,113101
306,113101
306,113101
306,113101
306,113101
306,113101
306,113101
306,113101
306,113101
306,113101
306,113101
306,113101
307,113101
307,113101
307,113101
307,113101
307,113101
307,113101
307,113101
307,113101
307,113101
307,113101
307,113101
307,113101
307,113101
307,113101
307,113101
307,113101
307,113101
307,113101
307,113101
307,113101
307,113101
307,113101
307,113101
307,113101
307,113101
307,113101
307,113101
307,113101
308,113101
308,113101
308,113101
308,113101
308,113101
308,113101
308,113101
308,113101
401,113101
401,113101
401,113101
401,113101
402,111210
402,113101
402,113101
402,113101
402,113101
403,113101
403,113101
404,111210
404,111210
405,113101
405,113101
405,113101
406,113101
406,113101
406,113101
406,113101
406,113101
407,1111
407,1111
407,113101
407,113101
407,113101
408,111210
408,111210
408,111210
408,111210
409,113101
410,113101
501,7111
502,7111
502,7111
504,1111
505,3111
505,3111
506,1111
506,1111
507,1111
507,1111
508,1111
510,1111
511,1111
511,1111
511,1111
601,3111
601,3111
602,3111
602,3111
602,3111
602,3111
602,3111
603,313101
603,313101
603,313101
603,313101
603,313101
603,313101
603,313101
604,3111
604,3111
701,3111
701,113101
702,113101
