HS,BEC17
90411,113101
90412,113101
90421,113101
90422,113101
90510,113101
90520,113101
90611,113101
90619,113101
90620,113101
90710,113101
90720,113101
90811,113101
90812,113101
90821,113101
90822,113101
90831,113101
90832,113101
90921,113101
90922,113101
90931,113101
90932,113101
90961,113101
90962,113101
91011,113101
91012,113101
91020,113101
91030,113101
91091,113101
91099,113101
100111,1111
100119,1111
100191,1111
100199,1111
100210,1111
100290,1111
100310,1111
100390,1111
100410,1111
100490,1111
100510,1111
100590,1111
100610,1111
100620,1111
100630,113101
100640,113101
100710,1111
100790,1111
100810,1111
100821,1111
100829,1111
100830,1111
100840,1111
100850,1111
100860,1111
100890,1111
110100,111210
110220,111210
110290,111210
110311,111210
110313,111210
110319,111210
110320,111210
110412,113101
110419,113101
110422,113101
110423,113101
110429,113101
110430,113101
110510,111210
110520,111210
110610,111210
110620,111210
110630,111210
110710,111210
110720,111210
110811,111210
110812,111210
110813,111210
110814,111210
110819,111210
110820,111210
110900,111210
120110,1111
120190,1111
120230,1111
120241,1111
120242,1111
120300,1111
120400,1111
120510,1111
120590,1111
120600,1111
120710,1111
120721,1111
120729,1111
120730,1111
120740,1111
120750,1111
120760,1111
120770,1111
120791,1111
120799,1111
120810,111210
120890,111210
120910,1111
120921,1111
120922,1111
120923,1111
120924,1111
120925,1111
120929,1111
120930,1111
120991,1111
120999,1111
121010,1111
121020,1111
121120,1111
121130,1111
121140,1111
121150,1111
121190,1111
121221,1111
121229,1111
121291,1111
121292,1111
121293,1111
121294,1111
121299,1111
121300,1111
121410,1111
121490,1111
130120,1111
130190,1111
130211,1111
130212,1111
130213,1111
130214,1111
130219,1111
130220,1111
130231,111210
130232,111210
130239,111210
140110,1111
140120,1111
140190,1111
140420,1111
140490,1111
150110,111210
150120,111210
150190,111210
150210,111210
150290,111210
150300,111210
150410,111210
150420,111210
150430,111210
150500,111210
150600,111210
150710,111210
150790,113201
150810,111210
150890,113201
150910,113101
150990,113101
151000,111210
151110,111210
151190,111210
151211,111210
151219,113101
151221,111210
151229,111210
151311,111210
151319,111210
151321,111210
151329,111210
151411,111210
151419,113101
151491,111210
151499,113101
151511,111210
151519,111210
151521,111210
151529,113101
151530,111210
151550,111210
151590,111210
151610,111210
151620,111210
151710,113101
151790,113101
151800,111210
152000,111210
152110,111210
152190,111210
152200,111210
160100,113201
160210,113201
160220,113201
160231,113201
160232,113201
160239,113201
160241,113201
160242,113201
160249,113201
160250,113201
160290,113201
160300,111210
160411,113201
160412,113201
160413,113201
160414,113201
160415,113201
160416,113201
160417,113201
160418,113201
160419,113201
160420,113201
160431,113201
160432,113201
160510,113201
160521,113201
160529,113201
160530,113201
160540,113201
160551,113201
160552,113201
160553,113201
160554,113201
160555,113201
160556,113201
160557,113201
160558,113201
160559,113201
160561,113201
160562,113201
160563,113201
160569,113201
170112,111210
